ds,yhat,sku_id,qty_total,revenue,price,forecasted_revenue,abs_error,pct_error,weighted_error
2024-02-12,0.4897985511977131,35845590961,2,0.0,0.0,0.0,1.5102014488022868,0.7551007244011434,0.0
2024-02-19,0.2595756298960632,35845590961,0,1716.0,0.0,0.0,0.2595756298960632,,445.43178090164446
2024-02-26,0.08683456656267066,35845590961,0,0.0,0.0,0.0,0.08683456656267066,,0.0
2024-02-05,-0.034896710382997576,35846286376,0,0.0,0.0,-0.0,0.034896710382997576,,0.0
2024-02-12,-0.01237174167287547,35846286376,0,0.0,0.0,-0.0,0.01237174167287547,,0.0
2024-02-19,0.2407927733763371,35846286376,0,0.0,0.0,0.0,0.2407927733763371,,0.0
2024-02-26,0.5156712556730016,35846286376,0,0.0,0.0,0.0,0.5156712556730016,,0.0
2024-02-05,0.5647023303448946,35846548593,0,0.0,0.0,0.0,0.5647023303448946,,0.0
2024-02-12,0.5272296473375517,35846548593,0,0.0,0.0,0.0,0.5272296473375517,,0.0
2024-02-19,0.29200836974108285,35846548593,0,0.0,0.0,0.0,0.29200836974108285,,0.0
2024-02-26,0.0922404030869034,35846548593,0,0.0,0.0,0.0,0.0922404030869034,,0.0
2024-02-05,0.5507250334164264,4475480724,0,0.0,0.0,0.0,0.5507250334164264,,0.0
2024-02-12,0.6172888122573447,4475480724,0,0.0,0.0,0.0,0.6172888122573447,,0.0
2024-02-19,0.5260590624712465,4475480724,0,0.0,0.0,0.0,0.5260590624712465,,0.0
2024-02-26,0.4972913316970591,4475480724,0,0.0,0.0,0.0,0.4972913316970591,,0.0
2024-02-05,-0.011961797305814703,30227761388,0,0.0,0.0,-0.0,0.011961797305814703,,0.0
2024-02-12,-0.00752177962545475,30227761388,0,0.0,0.0,-0.0,0.00752177962545475,,0.0
2024-02-19,-0.03204737884909481,30227761388,0,0.0,0.0,-0.0,0.03204737884909481,,0.0
2024-02-26,-0.07023491558706685,30227761388,0,0.0,0.0,-0.0,0.07023491558706685,,0.0
2024-02-05,1.5965823132212138,30227761828,0,0.0,0.0,0.0,1.5965823132212138,,0.0
2024-02-12,0.6330693810116423,30227761828,2,,0.0,0.0,1.3669306189883577,0.6834653094941788,
2024-02-19,0.11797491077666011,30227761828,0,0.0,0.0,0.0,0.11797491077666011,,0.0
2024-02-26,0.10920252664857522,30227761828,1,,0.0,0.0,0.8907974733514248,0.8907974733514248,
2024-02-05,0.18605424342043558,30227763865,0,0.0,0.0,0.0,0.18605424342043558,,0.0
2024-02-12,0.1526500022764462,30227763865,0,0.0,0.0,0.0,0.1526500022764462,,0.0
2024-02-19,0.15481173553534627,30227763865,0,0.0,0.0,0.0,0.15481173553534627,,0.0
2024-02-26,0.1926943471014284,30227763865,0,0.0,0.0,0.0,0.1926943471014284,,0.0
2024-02-05,0.03484449200052836,30227764388,0,0.0,0.0,0.0,0.03484449200052836,,0.0
2024-02-12,0.15417734121813614,30227764388,0,0.0,0.0,0.0,0.15417734121813614,,0.0
2024-02-19,0.19192922414519673,30227764388,1,,0.0,0.0,0.8080707758548032,0.8080707758548032,
2024-02-26,0.12708232446187107,30227764388,0,0.0,0.0,0.0,0.12708232446187107,,0.0
2024-02-05,-0.0497697731291425,30227765347,0,0.0,0.0,-0.0,0.0497697731291425,,0.0
2024-02-12,-0.10928815234515207,30227765347,0,0.0,0.0,-0.0,0.10928815234515207,,0.0
2024-02-19,-0.04751968587929183,30227765347,0,0.0,0.0,-0.0,0.04751968587929183,,0.0
2024-02-26,0.07945511144272047,30227765347,0,0.0,0.0,0.0,0.07945511144272047,,0.0
2024-02-05,0.287773908102901,3022776581,0,0.0,0.0,0.0,0.287773908102901,,0.0
2024-02-12,0.454555070216457,3022776581,1,0.0,0.0,0.0,0.545444929783543,0.545444929783543,0.0
2024-02-19,0.45126095627440554,3022776581,0,0.0,0.0,0.0,0.45126095627440554,,0.0
2024-02-26,0.31614016486711694,3022776581,0,0.0,0.0,0.0,0.31614016486711694,,0.0
2024-02-05,0.31778525454409395,30227766812,0,0.0,0.0,0.0,0.31778525454409395,,0.0
2024-02-12,0.1465811189388932,30227766812,0,0.0,0.0,0.0,0.1465811189388932,,0.0
2024-02-19,0.12448944044003288,30227766812,1,0.0,0.0,0.0,0.8755105595599671,0.8755105595599671,0.0
2024-02-26,0.21212845938921773,30227766812,0,0.0,0.0,0.0,0.21212845938921773,,0.0
2024-02-05,0.20799066384618503,3022776731,1,0.0,0.0,0.0,0.792009336153815,0.792009336153815,0.0
2024-02-12,0.28965453995028867,3022776731,0,0.0,0.0,0.0,0.28965453995028867,,0.0
2024-02-19,0.38229474883495274,3022776731,1,,0.0,0.0,0.6177052511650473,0.6177052511650473,
2024-02-26,0.4378658144931651,3022776731,0,0.0,0.0,0.0,0.4378658144931651,,0.0
2024-02-05,0.10589275884558669,30227767831,0,0.0,0.0,0.0,0.10589275884558669,,0.0
2024-02-12,0.03412546832946051,30227767831,0,0.0,0.0,0.0,0.03412546832946051,,0.0
2024-02-19,-0.05502168324246881,30227767831,0,0.0,0.0,-0.0,0.05502168324246881,,0.0
2024-02-26,-0.0247652767475266,30227767831,0,0.0,0.0,-0.0,0.0247652767475266,,0.0
2024-02-05,0.571168664398334,30227768349,1,0.0,0.0,0.0,0.428831335601666,0.428831335601666,0.0
2024-02-12,0.556544983393261,30227768349,1,0.0,0.0,0.0,0.443455016606739,0.443455016606739,0.0
2024-02-19,0.5083849013553094,30227768349,0,0.0,0.0,0.0,0.5083849013553094,,0.0
2024-02-26,0.6212566677380366,30227768349,0,0.0,0.0,0.0,0.6212566677380366,,0.0
2024-02-05,0.019096065561536868,30227768888,0,0.0,0.0,0.0,0.019096065561536868,,0.0
2024-02-12,-0.042797267462185595,30227768888,0,0.0,0.0,-0.0,0.042797267462185595,,0.0
2024-02-19,0.16221294973454442,30227768888,0,0.0,0.0,0.0,0.16221294973454442,,0.0
2024-02-26,0.3910543328920189,30227768888,0,0.0,0.0,0.0,0.3910543328920189,,0.0
